angle	ws (m/s)	Freq
87	10	0.000445263
87	11	0.000383758
87	12	0.000316511
87	13	0.00025003
87	14	0.000189282
87	15	0.000137364
87	16	9.56E-05
87	17	6.38E-05
87	18	4.08E-05
87	19	2.50E-05
87	20	1.47E-05
87	21	8.27E-06
87	22	4.46E-06
87	23	2.31E-06
87	24	1.14E-06
87	25	5.40E-07
90	4	0.000370378
90	5	0.000454325
90	6	0.000515167
90	7	0.000548156
90	8	0.000552006
90	9	0.000528827
90	10	0.000483539
90	11	0.000422872
90	12	0.000354194
90	13	0.000284383
90	14	0.000218994
90	15	0.000161791
90	16	0.000114691
90	17	7.80E-05
90	18	5.09E-05
90	19	3.19E-05
90	20	1.91E-05
90	21	1.10E-05
90	22	6.08E-06
90	23	3.22E-06
90	24	1.63E-06
90	25	7.91E-07
93	4	0.00037453
93	5	0.000465208
93	6	0.00053407
93	7	0.000575419
93	8	0.00058692
93	9	0.000569716
93	10	0.000528022
93	11	0.000468243
93	12	0.000397833
93	13	0.000324121
93	14	0.000253341
93	15	0.000190024
93	16	0.00013679
93	17	9.45E-05
93	18	6.26E-05
93	19	3.98E-05
93	20	2.43E-05
93	21	1.42E-05
93	22	7.97E-06
93	23	4.28E-06
93	24	2.20E-06
93	25	1.08E-06
96	4	0.000377662
96	5	0.000475768
96	6	0.000553627
96	7	0.000604472
96	8	0.00062477
96	9	0.000614555
96	10	0.00057721
96	11	0.000518738
96	12	0.000446655
96	13	0.000368766
96	14	0.000292063
96	15	0.000221939
96	16	0.000161819
96	17	0.000113192
96	18	7.59E-05
96	19	4.89E-05
96	20	3.01E-05
96	21	1.78E-05
96	22	1.01E-05
96	23	5.47E-06
96	24	2.84E-06
96	25	1.41E-06
99	4	0.000378954
99	5	0.000484638
99	6	0.000571986
99	7	0.000633113
99	8	0.000663192
99	9	0.000661009
99	10	0.00062897
99	11	0.00057254
99	12	0.000499212
99	13	0.000417239
99	14	0.000334401
99	15	0.000257028
99	16	0.000189452
99	17	0.000133886
99	18	9.07E-05
99	19	5.89E-05
99	20	3.66E-05
99	21	2.18E-05
99	22	1.24E-05
99	23	6.75E-06
99	24	3.51E-06
99	25	1.75E-06
102	4	0.000378093
102	5	0.000491019
102	6	0.000587841
102	7	0.000659586
102	8	0.0007001
102	9	0.000706826
102	10	0.000681054
102	11	0.000627561
102	12	0.000553683
102	13	0.000468043
102	14	0.000379188
102	15	0.000294427
102	16	0.000219071
102	17	0.000156151
102	18	0.000106583
102	19	6.96E-05
102	20	4.35E-05
102	21	2.60E-05
102	22	1.48E-05
102	23	8.10E-06
102	24	4.21E-06
102	25	2.09E-06
105	4	0.000375202
105	5	0.000494643
105	6	0.000600437
105	7	0.000682622
105	8	0.000733761
105	9	0.000749926
105	10	0.000731193
105	11	0.00068151
105	12	0.000607913
105	13	0.000519271
105	14	0.000424832
105	15	0.000332873
105	16	0.000249726
105	17	0.000179305
105	18	0.000123154
105	19	8.09E-05
105	20	5.07E-05
105	21	3.04E-05
105	22	1.74E-05
105	23	9.46E-06
105	24	4.91E-06
105	25	2.43E-06
108	4	0.000370731
108	5	0.000495686
108	6	0.000609521
108	7	0.000701444
108	8	0.000762851
108	9	0.000788486
108	10	0.00077719
108	11	0.000731987
108	12	0.000659479
108	13	0.000568648
108	14	0.000469331
108	15	0.000370708
108	16	0.000280118
108	17	0.000202387
108	18	0.000139727
108	19	9.21E-05
108	20	5.79E-05
108	21	3.48E-05
108	22	1.99E-05
108	23	1.08E-05
108	24	5.58E-06
108	25	2.74E-06
111	4	0.000365334
111	5	0.000494644
111	6	0.000615251
111	7	0.000715717
111	8	0.000786442
111	9	0.000820983
111	10	0.000816999
111	11	0.000776575
111	12	0.000705792
111	13	0.000613613
111	14	0.000510327
111	15	0.000405905
111	16	0.000308614
111	17	0.000224158
111	18	0.000155424
111	19	0.000102791
111	20	6.48E-05
111	21	3.89E-05
111	22	2.22E-05
111	23	1.20E-05
111	24	6.20E-06
111	25	3.03E-06
114	4	0.000359749
114	5	0.000492194
114	6	0.00061805
114	7	0.000725423
114	8	0.000803941
114	9	0.000846175
114	10	0.000848761
114	11	0.00081292
114	12	0.000744192
114	13	0.000651425
114	14	0.000545214
114	15	0.000436157
114	16	0.000333312
114	17	0.000243153
114	18	0.000169188
114	19	0.000112182
114	20	7.08E-05
114	21	4.25E-05
114	22	2.42E-05
114	23	1.31E-05
114	24	6.73E-06
114	25	3.27E-06
117	4	0.0003547
117	5	0.000489053
117	6	0.000618442
117	7	0.000730703
117	8	0.000814939
117	9	0.000863009
117	10	0.000870774
117	11	0.000838759
117	12	0.000772034
117	13	0.000679283
117	14	0.000571266
117	15	0.000459013
117	16	0.000352159
117	17	0.000257774
117	18	0.000179861
117	19	0.000119509
117	20	7.55E-05
117	21	4.54E-05
117	22	2.59E-05
117	23	1.40E-05
117	24	7.15E-06
117	25	3.46E-06
120	4	0.000350802
120	5	0.000485827
120	6	0.00061686
120	7	0.000731637
120	8	0.000819009
120	9	0.000870455
120	10	0.000881388
120	11	0.000851905
120	12	0.000786751
120	13	0.000694455
120	14	0.000585811
120	15	0.000472051
120	16	0.000363121
120	17	0.000266433
120	18	0.000186291
120	19	0.000123997
120	20	7.85E-05
120	21	4.72E-05
120	22	2.69E-05
120	23	1.45E-05
120	24	7.44E-06
120	25	3.60E-06
123	4	0.000348419
123	5	0.000482883
123	6	0.00061357
123	7	0.000728288
123	8	0.000815911
123	9	0.000867901
123	10	0.000879603
123	11	0.000851009
123	12	0.000786744
123	13	0.000695221
123	14	0.000587151
123	15	0.000473723
123	16	0.000364889
123	17	0.000268103
123	18	0.000187732
123	19	0.000125147
123	20	7.93E-05
123	21	4.78E-05
123	22	2.73E-05
123	23	1.48E-05
123	24	7.57E-06
123	25	3.67E-06
126	4	0.000347403
126	5	0.000480265
126	6	0.000608911
126	7	0.000721349
126	8	0.000806724
126	9	0.000856785
126	10	0.000867139
126	11	0.000837961
126	12	0.000773936
126	13	0.000683411
126	14	0.000576915
126	15	0.000465391
126	16	0.000358532
126	17	0.000263571
126	18	0.000184728
126	19	0.00012331
126	20	7.83E-05
126	21	4.73E-05
126	22	2.71E-05
126	23	1.47E-05
126	24	7.57E-06
126	25	3.68E-06
129	4	0.000347366
129	5	0.000477757
129	6	0.000602989
129	7	0.000711393
129	8	0.000792574
